,Date,Tweets,Likes,Views,Hastags,Keywords,topics,Sentiment_score,Sentiment_label
23,2025-04-04T20:23:04.000Z,"This GitHub repo is 5,045+ and trending !

stdlib-js/stdlib

Standard library for JavaScript and Node.js.

https://github.com/stdlib-js/stdlib…

#github #trending",0,0,"#github, #trending","['GitHub', 'repo', '5045', 'stdlibjsstdlib', 'Standard', 'library', 'JavaScript', 'Nodejs']",-1,0.0,Neutral
24,2025-04-04T19:41:18.000Z,"Dear 
@Swiggy
 @swiggy
 @SwiggyCares
 this order still under process & will be delivered by 3.30 am? Ordered at 10.20 pm

Swiggy biy not lifting calls
Great service received and cancelled the order even after paying bill
#Trending #food #india #telangana #service #Zomato #live #viral",0,0,"#Trending, #food, #india, #telangana, #service, #Zomato, #live, #viral","['Dear', 'Swiggy', 'swiggy', 'SwiggyCares', 'order', 'still', 'process', 'deliver', '330', 'Ordered', '1020', 'pm', 'biy', 'lift', 'call', 'Great', 'service', 'receive', 'cancel', 'even', 'pay', 'bill']",-1,-0.4007,Negative
25,2025-04-04T19:39:41.000Z,"#javadeveloper
#Java
Date - 04.04.2025
Day-86

Today I learned about Predefined functional interface, Type Parameter,Working with predefined functional interfaces

●In java, It is represented by <T> type parameter

●Java has provided predefined functional interfaces",0,0,"#javadeveloper, #Java","['Date', '04042025', 'Day', '86', 'Today', 'learn', 'Predefined', 'functional', 'interface', 'Type', 'ParameterWorking', 'predefined', 'interfaces', 'java', 'represent', 'type', 'parameter', 'Java', 'provide']",-1,0.0,Neutral
26,2025-04-04T19:21:58.000Z,"This GitHub repo is 19,164+ and trending !

sveltejs/kit

Web development, streamlined

https://github.com/sveltejs/kit

#github #trending",0,0,"#github, #trending","['GitHub', 'repo', '19164', 'sveltejskit', 'Web', 'development', 'streamline']",-1,0.0,Neutral
27,2025-04-04T18:56:31.000Z,"Kottayam - Pala Road  SH 1 / MC ROAD  State Highway 1, Kerala, India  Evening Scenic Bike Ride

 https://youtube.com/watch?v=EV9_SVfTyFk… #india #trending",0,0,"#india, #trending","['Kottayam', 'Pala', 'Road', 'SH', '1', 'MC', 'ROAD', 'State', 'Highway', 'Kerala', 'India', 'Evening', 'Scenic', 'Bike', 'Ride']",0,0.0,Neutral
28,2025-04-04T18:41:02.000Z,"The Thin Line:

https://ponderpagecoin.in/the-thin-line-between-free-speech-and-political/…

#Viral #Trending #MustSee #BreakingNews #InTheNews #StayInformed #HotTopic #EngageNow #SpeakUp #SocialBuzz #BigDebate #Politics #Government #Protest #kunalkamra #MyRights #JusticeForAll #PublicVoice #WeReject #PowerToPeople #ReelsIndia",0,0,"#Viral, #Trending, #MustSee, #BreakingNews, #InTheNews, #StayInformed, #HotTopic, #EngageNow, #SpeakUp, #SocialBuzz, #BigDebate, #Politics, #Government, #Protest, #kunalkamra, #MyRights, #JusticeForAll, #PublicVoice, #WeReject, #PowerToPeople, #ReelsIndia","['Thin', 'Line']",1,-0.25,Negative
29,2025-04-04T18:33:26.000Z,Trump giving TikTok 75 more days—big move!  Will this save the app or just delay the ban? Curious to see how this plays out with China.  #TikTokBan #TrumpNews #SocialMedia,0,0,"#TikTokBan, #TrumpNews, #SocialMedia","['Trump', 'give', 'TikTok', '75', 'days', 'big', 'move', 'save', 'app', 'delay', 'ban', 'Curious', 'play', 'China']",1,0.5859,Positive
30,2025-04-04T18:28:46.000Z,"Welcome!!!!!
#Elon #Zelena #Trump #helena #grandefratello #Crypto #Trending #Tommavi #Helevier",0,0,"#Elon, #Zelena, #Trump, #helena, #grandefratello, #Crypto, #Trending, #Tommavi, #Helevier",['Welcome'],1,0.4588,Positive
31,2025-04-04T18:28:32.000Z,"what?
 #Elon #Zelena #Trump #helena #grandefratello #Crypto #Trending #Tommavi #Helevier",0,0,"#Elon, #Zelena, #Trump, #helena, #grandefratello, #Crypto, #Trending, #Tommavi, #Helevier",[],1,0.0,Neutral
32,2025-04-04T18:26:11.000Z,"Mood lightner. 

#viral #meme #trending #comedy #laugh

#follow",0,0,"#viral, #meme, #trending, #comedy, #laugh, #follow","['Mood', 'lightner']",1,0.7269,Positive
33,2025-04-04T18:22:34.000Z,AKKI THE REEL STAR NO 286..#comedy #funny #fun #shorts #reels #trending #youtube #instagram #happy,0,0,"#comedy, #funny, #fun, #shorts, #reels, #trending, #youtube, #instagram, #happy","['AKKI', 'REEL', 'STAR', '286']",0,0.8271,Positive
34,2025-04-04T18:21:11.000Z,"Tilak verma fcuk you bc shanaaa bann raha tha bkl you deserve this

#IPL2025 #Trending #LSGvMI",0,0,"#IPL2025, #Trending, #LSGvMI","['Tilak', 'verma', 'fcuk', 'bc', 'shanaaa', 'bann', 'raha', 'tha', 'bkl', 'deserve']",0,0.0,Neutral
35,2025-04-04T18:13:40.000Z,Tip tip | #dancewithnora #bellydancer #bellydance #Trending #viraldance,0,0,"#dancewithnora, #bellydancer, #bellydance, #Trending, #viraldance","['Tip', 'tip']",1,0.0,Neutral
36,2025-04-04T18:02:20.000Z,AKKI THE REEL STAR NO 285..#comedy #funny #fun #shorts #reels #trending #youtube #instagram #happy,0,0,"#comedy, #funny, #fun, #shorts, #reels, #trending, #youtube, #instagram, #happy","['AKKI', 'REEL', 'STAR', '285']",0,0.8271,Positive
